STATION,DATE,TAVG,TMAX,TMIN
USW00013740,1983,57.8,68.1,47.6
USW00013740,1984,58.4,69.1,47.6
USW00013740,1985,59.2,70.2,48.3
USW00013740,1986,58.8,69.3,48.2
USW00013740,1987,57.9,68.9,47
USW00013740,1988,57.1,68.4,45.7
USW00013740,1989,57.5,67.7,47.3
USW00013740,1990,61,72.3,49.8
USW00013740,1991,60.6,71.7,49.4
USW00013740,1992,57.7,68.2,47.2
USW00013740,1993,58.8,69.7,47.9
USW00013740,1994,59,70.2,47.9
USW00013740,1995,58.1,68.8,47.3
USW00013740,1996,56.6,66.3,46.9
USW00013740,1997,57.3,67.9,46.7
USW00013740,1998,59.9,70.1,49.7
USW00013740,1999,58.6,69.2,48
USW00013740,2000,57.3,67.6,46.9
USW00013740,2001,58.6,69.7,47.5
USW00013740,2002,59.4,70.2,48.7
USW00013740,2003,57.6,67.1,48
USW00013740,2004,59.1,68.6,49.6
USW00013740,2005,59.7,70,49.4
USW00013740,2006,60.7,71.4,50
USW00013740,2007,60.2,71.1,49.4
USW00013740,2008,59.9,70.6,49.2
USW00013740,2009,58.7,68.7,48.7
USW00013740,2010,59.9,70.6,49.2
USW00013740,2011,60.8,71.3,50.3
USW00013740,2012,61.1,71.7,50.5
USW00013740,2013,59.2,69.1,49.3
USW00013740,2014,58.9,69.3,48.3
USW00013740,2015,59.9,70.1,49.8
USW00013740,2016,59.4,69.5,49.2
USW00013740,2017,60.5,70.9,50.1
USW00013740,2018,60,69.9,50
USW00013740,2019,61,71.4,50.6
